,Date,Open,High,Low,Close,Volume,Market Cap
712,"Apr 16, 2016",0.000075,0.000086,0.000069,0.000069,"16,982","810,302"
713,"Apr 15, 2016",0.000077,0.000081,0.000073,0.000075,"8,297","826,445"
714,"Apr 14, 2016",0.000085,0.000085,0.000068,0.000077,"14,853","917,048"
715,"Apr 13, 2016",0.000107,0.000107,0.000068,0.000085,"20,766","1,146,180"
716,"Apr 12, 2016",0.000213,0.000213,0.000092,0.000107,"37,220","2,282,640"
717,"Apr 11, 2016",0.000192,0.000541,0.000181,0.000213,631,"2,057,150"
718,"Apr 10, 2016",0.000172,0.000241,0.000163,0.000192,860,"1,830,560"
719,"Apr 09, 2016",0.000192,0.000193,0.000158,0.000172,399,"2,037,410"
720,"Apr 08, 2016",0.000216,0.000218,0.000170,0.000190,638,"2,284,390"
721,"Apr 07, 2016",0.000140,0.000237,0.000139,0.000216,"1,880","1,474,280"
722,"Apr 06, 2016",0.000123,0.000141,0.000122,0.000140,769,"1,291,760"
723,"Apr 05, 2016",0.000132,0.000140,0.000118,0.000123,966,"1,383,450"
724,"Apr 04, 2016",0.000125,0.000137,0.000099,0.000132,441,"1,312,010"
725,"Apr 03, 2016",0.000130,0.000131,0.000122,0.000125,"10,010","1,364,110"
726,"Apr 02, 2016",0.000117,0.000147,0.000113,0.000130,"33,868","1,226,770"
727,"Apr 01, 2016",0.000117,0.000126,0.000109,0.000117,"10,403","1,223,350"
728,"Mar 31, 2016",0.000124,0.000137,0.000108,0.000113,"19,155","1,295,910"
729,"Mar 30, 2016",0.000129,0.000133,0.000116,0.000124,"13,948","1,340,620"
730,"Mar 29, 2016",0.000131,0.000144,0.000120,0.000129,"9,337","1,361,200"
731,"Mar 28, 2016",0.000141,0.000169,0.000111,0.000131,"59,092","1,453,400"
732,"Mar 27, 2016",0.000125,0.000137,0.000121,0.000137,"11,344","1,286,540"
733,"Mar 26, 2016",0.000134,0.000142,0.000113,0.000125,"25,412","1,369,530"
734,"Mar 25, 2016",0.000100,0.000159,0.000080,0.000134,"110,896","1,019,650"
735,"Mar 24, 2016",0.000113,0.000117,0.000088,0.000096,"19,695","1,151,770"
736,"Mar 23, 2016",0.000121,0.000122,0.000109,0.000113,"13,367","1,230,080"
737,"Mar 22, 2016",0.000124,0.000133,0.000113,0.000121,"10,291","1,256,500"
738,"Mar 21, 2016",0.000137,0.000144,0.000120,0.000124,"20,555","1,379,950"
739,"Mar 20, 2016",0.000123,0.000149,0.000120,0.000137,"16,405","1,239,620"
740,"Mar 19, 2016",0.000139,0.000139,0.000118,0.000123,"8,517","1,390,980"
741,"Mar 18, 2016",0.000126,0.000139,0.000113,0.000139,"17,269","1,262,060"
